HRLM,TC,GSR,INCLY,INCLZ,INCLX
19,32.4375,505,-0.0272717523,86.7438278198,-3.5942859649
17,32.5,505,-0.3004671335,86.438796997,-3.5874643325
17,32.5,512,-0.0543200588,86.4577713012,-3.701606512
17,32.375,506,-0.0409487199,86.3438110351,-3.7054691314
17,32.4375,511,-0.3267271995,86.325767517,-3.64711833
17,32.375,505,-0.0409512233,86.3983001708,-3.6800975799
17,32.375,505,-0.1089651346,86.3639297485,-3.7943131923
17,32.375,505,-0.0407692813,86.2511138916,-3.4678976535
17,32.375,505,-0.2582356929,86.5681304931,-3.7644939422
17,32.4375,505,-0.203707385,86.2756347656,-3.5815360546
17,32.5625,505,0.1224824428,86.4620132446,-3.7033567428
17,32.5,505,-0.1502163982,86.3392410278,-3.6154282093
17,32.5,505,-0.0135828268,86.4301986694,-3.5492153167
17,32.4375,505,0.0136421084,86.4964065551,-3.4847972393
17,32.4375,505,-0.0952287864,86.5595474243,-3.6795964241
17,32.4375,505,0.1913720607,86.3610687255,-3.4786367416
17,32.5,511,-0.1499669313,86.5637741088,-3.6044328212
17,32.4375,505,-0.0271853446,86.4411087036,-3.3241786956
17,32.5,511,-0.1633927917,86.7174530029,-3.82594347
17,32.375,505,-0.1904752826,86.2149505615,-3.5493030548
17,32.5,505,-0.2038530349,86.490486145,-3.5518376827
17,32.375,504,-0.1495987319,86.4906539916,-3.480300188
17,32.4375,506,-0.0681992912,86.5646743774,-3.4584629535
17,32.375,505,0.0408232164,86.58694458,-3.6378040313
17,32.4375,505,-0.1913352489,86.4028015136,-3.5679285526
17,32.3125,505,-0.2449673652,86.4692993164,-3.6560738086
17,32.4375,505,-0.1901503086,86.3846206665,-3.4522516727
17,32.4375,505,,86.5933990478,-3.6231489181
17,32.375,505,-0.0408353853,86.4222717285,-3.6581201553
17,32.4375,505,-0.1364045023,86.384979248,-3.5747191905
17,32.5,511,-0.271666646,86.4605941772,-3.3992862701
17,32.375,505,0.0815350914,86.6453857421,-3.6248619556
17,32.5,511,-0.1225640892,86.4187088012,-3.7933239936
17,32.4375,505,-0.1363510847,86.2498703002,-3.5058627128
17,32.5,505,-0.0545319557,86.5393600463,-3.5441544055
17,32.375,505,-0.0817361068,86.5005493164,-3.2974960803
17,32.5,505,-0.1094001655,86.7463378906,-3.3241786956
17,32.3125,505,-0.1633927917,86.7174530029,-3.4321110248
17,32.3125,505,0.0136113536,86.6135101318,-3.4160895347
